PLAYER,TEAM,Age,GP,PTS,TRB,AST,BLK,Salary,TS%,Predicted_Salary,Valuation,Diff
Walker Kessler,UTA,23.0,53,11.4,12.3,1.6,2.4,2831160.0,0.686,17410097,Undervalued,14578937.0
Isaiah Joe,OKC,25.0,62,9.7,2.6,1.5,0.1,1997238.0,0.598,7675909,Undervalued,5678671.0
Jonathan Kuminga,GSW,22.0,37,16.3,4.8,2.3,0.5,6012840.0,0.535,15762183,Undervalued,9749343.0
Cam Thomas,BKN,23.0,25,24.0,3.3,3.8,0.1,2240160.0,0.575,24578771,Undervalued,22338611.0
Chris Paul,SAS,39.0,68,8.8,3.7,7.8,0.2,30800000.0,0.581,26667400,Fair,4132600.0
Royce O'Neale,PHX,31.0,64,9.3,5.0,2.2,0.5,9500000.0,0.593,16478732,Undervalued,6978732.0
Jordan Clarkson,UTA,32.0,36,16.4,3.2,3.8,0.2,14260000.0,0.542,26559341,Undervalued,12299341.0
Tari Eason,HOU,23.0,47,12.5,6.4,1.4,0.9,3527160.0,0.574,13177635,Undervalued,9650475.0
Cole Anthony,ORL,24.0,61,9.6,3.0,2.9,0.4,5539771.0,0.527,9014708,Fair,3474937.0
Jrue Holiday,BOS,34.0,53,11.0,4.3,3.8,0.5,36861707.0,0.56,23242018,Overvalued,13619689.0
Kentavious Caldwell-Pope,ORL,32.0,66,8.8,2.1,1.8,0.5,14704938.0,0.553,16119714,Fair,1414776.0
Aaron Gordon,DEN,29.0,41,14.1,5.0,3.0,0.2,21266182.0,0.647,19556382,Fair,1709800.0
Deandre Ayton,POR,26.0,40,14.4,10.2,1.6,1.0,32459438.0,0.583,20674263,Overvalued,11785175.0
Grayson Allen,PHX,29.0,53,10.7,3.1,2.2,0.4,8925000.0,0.64,14830865,Undervalued,5905865.0
Jalen Suggs,ORL,23.0,35,16.2,4.0,3.7,0.9,7252080.0,0.536,18605061,Undervalued,11352981.0
Ochai Agbaji,TOR,24.0,56,10.1,3.7,1.5,0.5,4114200.0,0.607,8801048,Fair,4686848.0
Ziaire Williams,BKN,23.0,55,10.3,4.8,1.4,0.4,4810200.0,0.554,8472711,Fair,3662511.0
Ayo Dosunmu,CHI,25.0,46,12.3,3.5,4.5,0.4,0.0,0.585,14325139,Undervalued,14325139.0
Mark Williams,CHA,23.0,36,15.5,10.1,2.5,1.3,3908160.0,0.638,19512907,Undervalued,15604747.0
Miles McBride,NYK,24.0,59,9.4,2.5,2.9,0.3,1836096.0,0.533,8348992,Undervalued,6512896.0
Andrew Nembhard,IND,25.0,53,10.4,3.1,5.1,0.2,2131905.0,0.556,11765956,Undervalued,9634051.0
Jeremy Sochan,SAS,21.0,48,11.5,6.6,2.5,0.5,5316960.0,0.6,8952756,Fair,3635796.0
Keon Ellis,SAC,25.0,67,8.2,2.5,1.3,0.8,1761752.0,0.659,7212575,Undervalued,5450823.0
Taurean Prince,MIL,30.0,68,8.1,3.8,2.0,0.1,7650000.0,0.609,11911301,Fair,4261301.0
Kevin Huerter,CHI,26.0,59,9.2,3.0,2.0,0.4,15669643.0,0.532,10399579,Overvalued,5270064.0
Dejounte Murray,NOP,28.0,31,17.5,6.5,7.4,0.4,18214000.0,0.494,27700747,Undervalued,9486747.0
Brandon Clarke,MEM,28.0,64,8.3,5.1,1.0,0.6,12500000.0,0.638,11214149,Fair,1285851.0
Isaiah Hartenstein,OKC,26.0,47,11.4,11.1,3.9,1.0,9245121.0,0.596,18518394,Undervalued,9273273.0
Jaden Ivey,DET,23.0,30,17.6,4.1,4.0,0.4,7614480.0,0.569,18713256,Undervalued,11098776.0
Luke Kennard,MEM,28.0,55,9.5,2.8,3.4,0.1,14763636.0,0.636,11956791,Fair,2806845.0
Draymond Green,GSW,35.0,56,9.3,6.2,5.7,1.1,27586224.0,0.54,26143779,Fair,1442445.0
Kawhi Leonard,LAC,33.0,26,19.6,5.3,2.9,0.5,45640084.0,0.562,32651524,Overvalued,12988560.0
Mike Conley,MIN,37.0,60,8.4,2.6,4.4,0.2,24360000.0,0.583,22052237,Fair,2307763.0
Chris Boucher,TOR,32.0,50,10.0,4.5,0.7,0.5,11750000.0,0.615,17835144,Undervalued,6085144.0
Clint Capela,ATL,30.0,55,8.9,8.5,1.1,1.0,20616000.0,0.564,17789598,Fair,2826402.0
Immanuel Quickley,TOR,25.0,28,17.3,3.6,5.6,0.1,4171548.0,0.575,20480358,Undervalued,16308810.0
Nick Richards,PHX,27.0,49,9.7,8.4,1.0,1.1,5000000.0,0.638,15039455,Undervalued,10039455.0
Jalen Smith,CHI,25.0,57,8.2,5.6,1.0,0.7,5043773.0,0.59,8986708,Fair,3942935.0
Josh Green,CHA,24.0,63,7.3,2.6,1.6,0.2,4765339.0,0.549,4708390,Fair,56949.0
AJ Green,MIL,25.0,62,7.4,2.2,1.4,0.1,1761752.0,0.613,4816858,Fair,3055106.0
Goga Bitadze,ORL,25.0,59,7.7,6.9,1.9,1.5,2066585.0,0.647,11212557,Undervalued,9145972.0
Sam Hauser,BOS,27.0,59,7.7,3.1,0.9,0.2,1927896.0,0.615,7892467,Undervalued,5964571.0
Joel Embiid,PHI,31.0,19,23.8,8.2,4.5,0.9,46900000.0,0.58,38277854,Overvalued,8622146.0
Patrick Williams,CHI,23.0,51,8.8,3.9,2.0,0.6,9835881.0,0.493,8253912,Fair,1581969.0
Peyton Watson,DEN,22.0,57,7.9,3.2,1.5,1.2,2303520.0,0.566,6458464,Fair,4154944.0
Al Horford,BOS,38.0,53,8.4,5.9,2.1,0.9,10000000.0,0.556,25840190,Undervalued,15840190.0
Davion Mitchell,MIA,26.0,62,7.1,2.1,4.6,0.2,5063640.0,0.561,8179793,Fair,3116153.0
Tyrese Martin,BKN,26.0,52,8.5,3.6,1.8,0.2,1719864.0,0.529,9484158,Undervalued,7764294.0
Jose Alvarado,NOP,26.0,46,9.6,2.3,4.6,0.2,1836096.0,0.54,11963050,Undervalued,10126954.0
