PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,TRB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV,Age,TS%,Salary
202699,77,Tobias Harris,1610612765,DET,66,2122,351,739,0.475,81,240,0.338,133,154,0.864,61,341,6.1,2.2,61,0.8,73,121,13.9,1093,1.96,0.84,32.0,0.568,39270150.0
1631094,78,Paolo Banchero,1610612753,ORL,36,1234,311,699,0.445,70,214,0.327,217,301,0.721,40,219,7.2,4.8,30,0.7,101,78,25.2,821,1.69,0.3,22.0,0.547,11608080.0
1626162,79,Kelly Oubre Jr.,1610612755,PHI,60,2078,348,741,0.47,71,242,0.293,139,185,0.751,97,271,6.1,1.8,92,0.5,80,180,15.1,985,1.35,1.15,29.0,0.551,7983000.0
1630700,80,Dyson Daniels,1610612737,ATL,64,2166,379,782,0.485,68,197,0.345,74,126,0.587,103,257,5.6,4.2,194,0.7,124,157,14.1,1194,2.19,1.56,22.0,0.537,5784120.0
1630183,81,Jaden McDaniels,1610612750,MIN,71,2296,354,734,0.482,94,277,0.339,93,112,0.83,116,308,6.0,2.1,102,0.9,80,204,12.6,1154,1.86,1.27,24.0,0.571,3901399.0
1628374,82,Lauri Markkanen,1610612762,UTA,47,1476,296,700,0.423,138,399,0.346,162,185,0.876,72,206,5.9,1.5,33,0.4,66,79,19.0,797,1.06,0.5,27.0,0.571,17259999.0
202691,83,Klay Thompson,1610612742,DAL,61,1691,317,764,0.415,189,475,0.398,57,63,0.905,42,177,3.6,2.1,46,0.5,81,75,14.4,770,1.62,0.57,35.0,0.556,43219440.0
1629656,84,Quentin Grimes,1610612755,PHI,65,1667,312,647,0.482,131,330,0.397,117,157,0.745,51,223,4.2,2.6,61,0.3,109,119,13.4,915,1.57,0.56,24.0,0.609,2385720.0
201572,85,Brook Lopez,1610612749,MIL,68,2158,319,643,0.496,120,324,0.37,97,114,0.851,92,247,5.0,1.7,45,1.9,69,148,12.6,1072,1.67,0.65,36.0,0.617,23000000.0
203471,86,Dennis Schröder,1610612765,DET,64,1752,296,714,0.415,116,329,0.353,144,171,0.842,20,143,2.5,5.3,60,0.2,124,152,13.3,857,2.73,0.48,31.0,0.54,13025250.0
1630581,87,Josh Giddey,1610612741,CHI,61,1812,314,673,0.467,91,241,0.378,131,166,0.789,104,363,7.7,6.7,67,0.6,166,104,13.9,1272,2.46,0.4,22.0,0.57,6587040.0
1630170,88,Devin Vassell,1610612759,SAS,53,1635,321,737,0.436,121,344,0.352,85,107,0.794,30,176,3.9,2.9,67,0.6,71,87,16.0,796,2.14,0.94,24.0,0.541,5887899.0
1641708,89,Amen Thompson,1610612745,HOU,60,1952,331,599,0.553,20,78,0.256,158,228,0.693,166,334,8.3,3.6,79,1.2,126,140,14.0,1248,1.73,0.63,22.0,0.601,9249748.0
203078,90,Bradley Beal,1610612756,PHX,48,1545,318,630,0.505,92,233,0.395,104,128,0.813,33,131,3.4,3.6,49,0.5,92,123,17.3,816,1.89,0.53,31.0,0.606,46741590.0
201566,91,Russell Westbrook,1610612743,DEN,63,1777,315,690,0.457,83,244,0.34,113,177,0.638,95,227,5.1,6.3,89,0.5,196,157,13.1,1030,2.02,0.45,36.0,0.538,5631296.0
1629640,92,Keldon Johnson,1610612759,SAS,65,1545,305,633,0.482,76,230,0.33,127,166,0.765,89,212,4.6,1.5,41,0.2,62,98,12.5,840,1.6,0.66,25.0,0.576,20000000.0
1631099,93,Keegan Murray,1610612758,SAC,66,2291,314,712,0.441,129,384,0.336,55,66,0.833,132,315,6.8,1.5,52,0.8,56,169,12.3,1000,1.75,0.93,24.0,0.548,8409000.0
203084,94,Harrison Barnes,1610612759,SAS,68,1848,277,546,0.507,119,276,0.431,128,165,0.776,91,171,3.9,1.7,24,0.2,39,61,11.8,868,2.9,0.61,32.0,0.647,18000000.0
1630168,95,Onyeka Okongwu,1610612737,ATL,62,1657,315,551,0.572,33,106,0.311,134,179,0.749,188,343,8.6,2.2,57,1.0,65,153,12.9,1236,2.11,0.88,24.0,0.633,8109063.0
1627741,96,Buddy Hield,1610612744,GSW,70,1613,285,684,0.417,175,475,0.368,46,57,0.807,41,187,3.3,1.7,61,0.3,85,113,11.3,728,1.44,0.72,32.0,0.558,19279841.0
1630598,97,Aaron Wiggins,1610612760,OKC,68,1535,309,628,0.492,114,294,0.388,57,69,0.826,75,184,3.8,1.7,52,0.3,58,86,11.6,846,2.02,0.9,26.0,0.599,1836096.0
1630703,98,Scoot Henderson,1610612757,POR,62,1662,271,642,0.422,97,272,0.357,149,193,0.772,48,142,3.1,5.0,67,0.2,167,171,12.7,789,1.87,0.4,21.0,0.542,10259449.0
1641711,99,Gradey Dick,1610612761,TOR,54,1587,265,647,0.41,114,326,0.35,133,155,0.858,44,149,3.6,1.8,48,0.2,83,120,14.4,639,1.18,0.58,21.0,0.543,4763543.0
1628398,100,Kyle Kuzma,1610612749,MIL,52,1549,296,697,0.425,72,252,0.286,103,164,0.628,41,271,6.0,2.3,29,0.2,115,94,14.8,662,1.04,0.25,29.0,0.499,13000000.0
1631105,101,Jalen Duren,1610612765,DET,67,1736,317,456,0.695,0,0,0.0,132,193,0.684,230,458,10.3,2.5,48,1.1,117,217,11.4,1432,1.45,0.41,21.0,0.708,4330680.0
1629660,102,Ty Jerome,1610612739,CLE,64,1262,276,549,0.503,94,225,0.418,117,135,0.867,46,115,2.5,3.3,74,0.0,83,94,11.9,838,2.57,0.89,27.0,0.627,1761752.0
1628381,103,John Collins,1610612762,UTA,40,1221,280,531,0.527,59,148,0.399,139,164,0.848,89,238,8.2,2.0,39,1.0,103,116,19.0,865,0.78,0.38,27.0,0.628,25340000.0
1627751,104,Jakob Poeltl,1610612761,TOR,53,1579,331,533,0.621,1,3,0.333,94,139,0.676,175,333,9.6,2.8,63,1.2,102,169,14.3,1193,1.47,0.62,29.0,0.637,19500000.0
1642377,105,Jaylen Wells,1610612763,MEM,70,1817,264,616,0.429,126,352,0.358,94,116,0.81,76,152,3.3,1.7,39,0.1,65,130,10.7,700,1.78,0.6,21.0,0.561,
202685,106,Jonas Valančiūnas,1610612758,SAC,68,1355,305,562,0.543,8,33,0.242,126,145,0.869,172,388,8.2,2.2,34,0.7,110,151,10.9,1147,1.36,0.31,32.0,0.594,
1629130,107,Duncan Robinson,1610612748,MIA,66,1624,262,600,0.437,170,437,0.389,44,50,0.88,16,137,2.3,2.5,37,0.1,79,126,11.2,674,2.08,0.47,30.0,0.593,18154000.0
1642258,108,Zaccharie Risacher,1610612737,ATL,62,1520,277,625,0.443,96,274,0.35,87,121,0.719,76,156,3.7,1.2,47,0.5,79,117,11.9,662,0.96,0.59,19.0,0.543,
1629627,108,Zion Williamson,1610612740,NOP,30,857,288,508,0.567,3,13,0.231,158,241,0.656,76,140,7.2,5.3,37,0.9,90,82,24.6,783,1.77,0.41,24.0,0.6,33500000.0
202710,110,Jimmy Butler III,1610612744,GSW,43,1346,233,472,0.494,22,73,0.301,247,298,0.829,99,144,5.7,5.5,50,0.4,60,44,17.1,930,3.93,0.83,35.0,0.609,
1630230,111,Naji Marshall,1610612742,DAL,57,1526,285,575,0.496,52,189,0.275,107,129,0.829,64,206,4.7,2.9,60,0.1,89,87,12.8,830,1.84,0.67,27.0,0.577,1930681.0
1641731,112,Bilal Coulibaly,1610612764,WAS,59,1948,263,624,0.421,63,224,0.281,138,185,0.746,91,203,5.0,3.4,78,0.7,125,139,12.3,806,1.59,0.62,20.0,0.515,
203915,112,Spencer Dinwiddie,1610612742,DAL,68,1781,237,574,0.413,93,278,0.335,160,197,0.812,15,151,2.4,3.9,58,0.2,80,104,10.7,777,3.33,0.72,31.0,0.55,20357143.0
1641739,114,Toumani Camara,1610612757,POR,67,2196,270,592,0.456,107,287,0.373,79,108,0.731,152,238,5.8,2.2,98,0.7,98,204,10.8,956,1.5,1.0,24.0,0.568,
1627832,115,Fred VanVleet,1610612745,HOU,51,1792,248,653,0.38,134,394,0.34,94,114,0.825,30,176,4.0,5.6,83,0.5,75,122,14.2,824,3.84,1.11,31.0,0.515,22824074.0
1626145,116,Tyus Jones,1610612756,PHX,69,1929,261,586,0.445,145,343,0.423,49,55,0.891,34,131,2.4,5.7,59,0.1,86,59,10.4,920,4.54,0.69,28.0,0.587,14000000.0
1629023,117,P.J. Washington,1610612742,DAL,49,1585,256,581,0.441,76,207,0.367,124,169,0.734,77,320,8.1,2.3,57,1.0,95,118,14.5,863,1.18,0.6,26.0,0.543,
